Step 0227 | Loss: 810.7756 | L0: 1075.0 | Dead: 0
Step 0228 | Loss: 738.5121 | L0: 1075.0 | Dead: 0
Step 0229 | Loss: 784.1432 | L0: 1075.0 | Dead: 0
Step 0230 | Loss: 786.8622 | L0: 1075.0 | Dead: 0
Step 0231 | Loss: 820.2314 | L0: 1075.0 | Dead: 0
Step 0232 | Loss: 747.3531 | L0: 1075.0 | Dead: 0
Step 0233 | Loss: 741.2100 | L0: 1075.0 | Dead: 0
Step 0234 | Loss: 788.5085 | L0: 1075.0 | Dead: 0
Step 0235 | Loss: 731.4683 | L0: 1075.0 | Dead: 0
Step 0236 | Loss: 764.9816 | L0: 1075.0 | Dead: 0
Step 0237 | Loss: 801.9019 | L0: 1075.0 | Dead: 0
Step 0238 | Loss: 756.8911 | L0: 1075.0 | Dead: 0
Step 0239 | Loss: 766.9509 | L0: 1075.0 | Dead: 0
Step 0240 | Loss: 759.1195 | L0: 1075.0 | Dead: 0
Step 0241 | Loss: 763.6177 | L0: 1075.0 | Dead: 0
Step 0242 | Loss: 744.7548 | L0: 1075.0 | Dead: 0
Step 0243 | Loss: 716.8079 | L0: 1075.0 | Dead: 0
Step 0244 | Loss: 743.6375 | L0: 1075.0 | Dead: 0
Step 0245 | Loss: 694.2980 | L0: 1075.0 | Dead: 0
Step 0246 | Loss: 688.9859 | L0: 1075.0 | Dead: 0
Step 0247 | Loss: 707.9971 | L0: 1075.0 | Dead: 0
Step 0248 | Loss: 709.5062 | L0: 1075.0 | Dead: 0
Step 0249 | Loss: 697.4672 | L0: 1075.0 | Dead: 0
Step 0250 | Loss: 696.1622 | L0: 1075.0 | Dead: 0
Step 0251 | Loss: 691.3647 | L0: 1075.0 | Dead: 0
Step 0252 | Loss: 718.1766 | L0: 1075.0 | Dead: 0
Step 0253 | Loss: 700.8214 | L0: 1075.0 | Dead: 0
Step 0254 | Loss: 701.3319 | L0: 1075.0 | Dead: 0
Step 0255 | Loss: 688.6643 | L0: 1075.0 | Dead: 0
Step 0256 | Loss: 666.2112 | L0: 1075.0 | Dead: 0
Step 0257 | Loss: 713.0187 | L0: 1075.0 | Dead: 0
Step 0258 | Loss: 723.8708 | L0: 1075.0 | Dead: 0
Step 0259 | Loss: 717.4868 | L0: 1075.0 | Dead: 0
Step 0260 | Loss: 690.4805 | L0: 1075.0 | Dead: 0
Step 0261 | Loss: 762.7156 | L0: 1075.0 | Dead: 0
Step 0262 | Loss: 731.7190 | L0: 1075.0 | Dead: 0
Step 0263 | Loss: 702.5696 | L0: 1075.0 | Dead: 0
Step 0264 | Loss: 732.8042 | L0: 1075.0 | Dead: 0
Step 0265 | Loss: 727.0388 | L0: 1075.0 | Dead: 0
Step 0266 | Loss: 726.1415 | L0: 1075.0 | Dead: 0
Step 0267 | Loss: 705.0165 | L0: 1075.0 | Dead: 0
Step 0268 | Loss: 701.8002 | L0: 1075.0 | Dead: 0
Step 0269 | Loss: 709.3544 | L0: 1075.0 | Dead: 0
Step 0270 | Loss: 702.6302 | L0: 1075.0 | Dead: 0
Step 0271 | Loss: 706.3254 | L0: 1075.0 | Dead: 0
Step 0272 | Loss: 653.4720 | L0: 1075.0 | Dead: 0
Step 0273 | Loss: 705.8374 | L0: 1075.0 | Dead: 0
Step 0274 | Loss: 681.8253 | L0: 1075.0 | Dead: 0
Step 0275 | Loss: 671.9723 | L0: 1075.0 | Dead: 0
Step 0276 | Loss: 702.9677 | L0: 1075.0 | Dead: 0
Step 0277 | Loss: 703.1359 | L0: 1075.0 | Dead: 0
Step 0278 | Loss: 710.0197 | L0: 1075.0 | Dead: 0
Step 0279 | Loss: 723.4778 | L0: 1075.0 | Dead: 0
Step 0280 | Loss: 687.4462 | L0: 1075.0 | Dead: 0
Step 0281 | Loss: 684.6099 | L0: 1075.0 | Dead: 0
Step 0282 | Loss: 725.4363 | L0: 1075.0 | Dead: 0
Step 0283 | Loss: 677.4396 | L0: 1075.0 | Dead: 0
Step 0284 | Loss: 701.0452 | L0: 1075.0 | Dead: 0
Step 0285 | Loss: 663.0917 | L0: 1075.0 | Dead: 0
Step 0286 | Loss: 647.7220 | L0: 1075.0 | Dead: 0
Step 0287 | Loss: 699.5721 | L0: 1075.0 | Dead: 0
